School Name,Region,State,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Michigan State University (MSU),Midwestern,MI,46300,85300,44200,61500,119000,170000
DePaul University,Midwestern,IL,46400,84800,50300,63900,115000,160000
Iowa State University,Midwestern,IA,45400,84600,44400,60000,109000,147000
University of Minnesota,Midwestern,MN,46200,84200,49000,63200,112000,148000
"Indiana University (IU), Bloomington",Midwestern,ID,46300,84000,43600,60400,119000,178000
University of Iowa (UI),Midwestern,IA,44700,83900,43300,61100,116000,163000
Ohio State University (OSU),Midwestern,OH,44900,83700,45500,60700,116000,162000
Denison University,Midwestern,OH,42000,83500,N/A,62100,122000,N/A
University of Illinois at Chicago,Midwestern,IL,47500,81700,44700,58800,110000,146000
Oberlin College,Midwestern,OH,43400,81600,N/A,46400,128000,N/A
University of Kansas,Midwestern,KS,42400,81600,44800,57200,115000,156000
University of Missouri - Columbia,Midwestern,MO,41700,81000,43500,57100,111000,156000
University of Nebraska,Midwestern,NE,45700,80900,42200,56600,113000,156000
Northern Illinois University (NIU),Midwestern,IL,43600,80800,43900,60200,111000,161000
Gustavus Adolphus College,Midwestern,MN,44500,80600,N/A,49300,101000,N/A
University of North Dakota,Midwestern,ND,44000,80600,43400,56400,111000,157000
Kansas State University (KSU),Midwestern,KS,43300,79000,37200,54100,106000,138000
University of Wisconsin (UW) - Platteville,Midwestern,WI,45800,78500,48400,61200,100000,139000
Wittenberg University,Midwestern,OH,39200,78200,N/A,54100,131000,N/A
North Dakota State University (NDSU),Midwestern,ND,45100,77800,39000,55800,100000,123000
Grinnell College,Midwestern,IA,42600,76600,N/A,65100,116000,N/A
Wayne State University,Midwestern,MI,42800,76100,40100,56200,101000,139000
University of Toledo,Midwestern,OH,43100,75900,40100,54100,100000,133000
University of Wisconsin (UW) - Whitewater,Midwestern,WI,40800,75500,38200,53500,99300,150000
Minnesota State University - Mankato,Midwestern,MN,43300,74700,39500,53800,95700,140000
University of Wisconsin (UW) - Milwaukee,Midwestern,WI,42300,74600,40600,54000,93700,123000
Western Michigan University (WMU),Midwestern,MI,42300,73800,40100,52500,103000,135000
South Dakota State University (SDSU),Midwestern,SD,41100,73500,34100,49900,99400,129000
Ohio University,Midwestern,OH,42200,73400,36600,52800,106000,150000
Illinois State University,Midwestern,IL,42000,73400,39100,55200,105000,142000
Cleveland State University,Midwestern,OH,43500,73100,39500,51600,97000,137000
University of Nebraska at Omaha,Midwestern,NE,41500,72600,39500,54400,97400,126000
Southern Illinois University Carbondale,Midwestern,IL,43000,72500,38300,51300,99300,139000
Eastern Michigan University,Midwestern,MI,40300,72100,37900,52800,95400,135000
Bowling Green State University,Midwestern,OH,39800,72100,38200,51800,101000,146000
St. Cloud State University,Midwestern,MN,41800,71400,38700,49400,101000,126000
University of Wisconsin (UW) - Parkside,Midwestern,WI,40700,71400,40900,53100,84900,119000
University of Akron,Midwestern,OH,41100,70300,40600,53300,95200,127000
Missouri State University (MSU),Midwestern,MO,36100,69500,33300,46900,102000,134000
University of Wisconsin (UW) - La Crosse,Midwestern,WI,42200,69300,37500,47200,93100,133000
University of Wisconsin (UW) - Stout,Midwestern,WI,43600,68300,40900,50600,91600,136000
Robert Morris College (RMC),Midwestern,IL,38500,68200,37300,47100,95000,128000
University of Missouri - St. Louis (UMSL),Midwestern,MO,41400,67100,36800,49600,97600,144000
University of Wisconsin (UW) - Oshkosh,Midwestern,WI,39300,66400,37700,49700,90100,138000
University of Missouri - Kansas City (UMKC),Midwestern,MO,38900,65800,36300,48100,95800,124000
University of Wisconsin (UW) - Eau Claire,Midwestern,WI,41400,64800,35000,47300,93100,125000
Ball State University (BSU),Midwestern,IN,39100,64500,35500,48200,89300,128000
Park University,Midwestern,MO,44300,64300,37200,45600,86400,113000
University of Wisconsin (UW) - Stevens Point,Midwestern,WI,39800,64000,38400,45100,95400,128000
Kent State University,Midwestern,OH,38700,62600,36100,45800,87000,124000
University of Wisconsin (UW) - Green Bay,Midwestern,WI,35800,60600,35500,46800,81800,102000
Indiana Wesleyan University (IWU),Midwestern,IN,39800,58500,39600,47800,78600,93400
Pittsburg State University,Midwestern,KS,40400,58200,25600,46000,84600,117000
Davenport University,Midwestern,MI,39700,46600,31600,38100,65600,85700
Black Hills State University,Midwestern,SD,35300,43900,N/A,32200,60900,N/A
Rice University,Southern,TX,64000,110000,55900,82100,141000,216000
Georgetown University,Southern,DC,55000,110000,60300,85800,174000,248000
Duke University,Southern,NC,58900,106000,56000,77400,149000,218000
Georgia Institute of Technology,Southern,GA,58300,106000,67200,85200,137000,183000
Washington and Lee University,Southern,VA,53600,104000,N/A,82800,146000,N/A
Vanderbilt University,Southern,TN,51200,104000,49900,68100,147000,222000
Davidson College,Southern,NC,46100,104000,N/A,70500,146000,N/A
University of Virginia (UVA),Southern,VA,52700,103000,52200,71800,146000,215000
George Washington University (GWU),Southern,DC,47000,97900,48400,69600,132000,194000
Texas A&M University,Southern,TX,49700,96100,51100,71300,131000,171000
Tulane University,Southern,LA,49100,95800,46500,64400,134000,185000
Virginia Polytechnic Institute and State University (Virginia Tech),Southern,VA,53500,95400,50600,71400,124000,163000
"University of Maryland, College Park",Southern,MD,52000,95000,50400,68300,126000,166000
University of Richmond,Southern,VA,48600,94600,44500,59400,151000,211000
University of Texas (UT) - Austin,Southern,TX,49700,93900,50100,67400,129000,188000
Emory University,Southern,GA,52000,91600,52500,63300,128000,192000
"American University, Washington D.C.",Southern,DC,45300,90800,45200,62400,134000,169000
University of Tulsa,Southern,OK,42400,88700,42300,60300,120000,197000
Baylor University,Southern,TX,48300,88600,46300,60700,130000,200000
University of Florida (UF),Southern,FL,47100,87900,45400,62900,120000,172000
Louisiana State University (LSU),Southern,LA,46900,87800,43700,61300,120000,165000
George Mason University,Southern,VA,47800,86900,51300,67200,114000,150000
Clemson University,Southern,SC,48400,86000,50500,61800,111000,150000
University of Georgia (UGA),Southern,GA,44100,86000,43100,57800,118000,164000
Auburn University,Southern,AL,45400,84700,45400,62700,109000,145000
University of Delaware,Southern,DE,45900,84500,44500,64000,119000,165000
Randolph-Macon College,Southern,VA,42600,83600,N/A,54100,123000,N/A
North Carolina State University (NCSU),Southern,NC,47200,83300,49200,64800,112000,153000
University of Oklahoma,Southern,OK,44700,82900,41200,60300,114000,167000
University of Arkansas,Southern,AR,44100,82800,43200,60700,113000,160000
University of Alabama at Huntsville (UAH),Southern,AL,43100,82700,46100,67800,106000,132000
Howard University,Southern,DC,46900,81800,43300,60000,109000,138000
University of North Carolina at Chapel Hill (UNCH),Southern,NC,42900,81500,43400,57500,117000,155000
"University of Alabama, Tuscaloosa",Southern,AL,41300,81400,40100,56500,117000,161000
University of Texas at Arlington (UTA),Southern,TX,45400,80800,46400,61200,106000,138000
Oklahoma State University,Southern,OK,42800,80700,40100,56500,114000,151000
Tennessee Technological University,Southern,TN,46200,80000,42100,62600,99500,121000
University of Houston (UH),Southern,TX,46000,79900,42000,56200,106000,141000
University of Mississippi,Southern,MS,41400,79700,40400,53500,108000,186000
Lamar University,Southern,TX,46500,79400,38700,51600,114000,158000
Mississippi State University (MSU),Southern,MS,44500,79300,43300,58800,108000,151000
University of Kentucky (UK),Southern,KY,42800,78300,43000,57300,107000,149000
Texas Christian University (TCU),Southern,TX,45100,78100,42600,56600,122000,183000
West Virginia University (WVU),Southern,WV,43100,78100,39700,55700,106000,141000
University of Maryland Baltimore County (UMBC),Southern,MD,47000,77800,46900,59100,105000,130000
University of Louisiana (UL) at Lafayette,Southern,LA,41100,76300,42000,54500,107000,163000
Florida International University (FIU),Southern,FL,43200,75500,40500,55800,98200,136000
University of Tennessee,Southern,TN,43800,74600,41900,53200,106000,153000
University of Arkansas - Monticello (UAM),Southern,AR,39200,74500,N/A,46100,110000,N/A
University of North Carolina at Charlotte (UNCC),Southern,NC,43100,74000,38200,53200,99500,133000
Georgia State University,Southern,LA,41800,74000,43000,55300,99900,145000
LeTourneau University,Southern,TX,49500,73800,41200,52700,95200,126000
Florida State University (FSU),Southern,FL,42100,73000,39600,52800,107000,156000
